text,stars,label,text_type,app,date,source
المنتجات ٩٠% منها بتيجي غلط وكل ما اعمل شكوي الاقي اسوأ خدمة عملاء في العالم ولا مرة حلولي مشكلة رغم ان كلها من عندهم او من المطعم او الماركت ، اشتراك في خدمة Pro مع خدمة في level low تسعير عالي علي الفاضي وخصومات وهمية وكمان مبتحترموش العملاء ، بجد ايه القرف ده,1,negative,code_switched,Talabat,2026-02-25 02:47:46,google_play
الديفيلوبر العبقري اللي عامل الاشعارات، عنده كل انواع الاشعارات و حاططتهم كلهم لامؤاخذة تحت Talabat Notifications و سايب بقيتهم كلهم ملهمش اي ستين لازمة. يعني عشان اقفل الاعلانات المزعجة اللي كل شوية تيجي و اللي مخليين الفايبريشن بتاعها مزعج جدا و طويل فشخ، لازم اضحي اني اقفل كل الاشعارات المهمة التانية. حاجة في منتهى العبقرية المحدودة.,1,negative,code_switched,Talabat,2026-02-24 14:05:26,google_play
خدمة فاشلة سيئة واتا اتعامل معهم من زمان وزبون قديم عندهم ولكن دوما تصير مشاكل واخطاء وتعطيل منهم وما عندهم اي أدنى اهتمام بالزبون، راح أزيل البرنامح من هاتفي. ما انصح ابدا ولا اقترح عليكم التعامل معهم. One of the badest services I have ever seen I don't recommended,1,negative,code_switched,Talabat,2026-02-23 19:17:52,google_play
أسوأ أبليكيشن ممكن حد يستخدمه ليه بتحطوا المنيو أغلي من المنيو الأصلي اللي علي صفحات المطاعم علي الفيسبوك !؟ يعني انتوا عملتوا ضريبة خمسة في المئة لنفسكم كفاية كده طيب لكن ليه تحط أسعار منيو أغلي من الأسعار الأساسية تبع المطعم ! و الله هذا غش و نصب. (مطعم مستر بيكر mr baker)و كذلك بابا جونز و سيتي كريب و يبدو أن القائمة لا نهاية لها!!,4,positive,code_switched,Talabat,2026-02-19 09:28:41,google_play
منصحش حد يضيف الفيزا بتاعته بيسحبو فلوس مع نفسهم بدون otp,1,negative,code_switched,Talabat,2026-02-18 12:50:13,google_play
كنت فاكر ان العروض كويسة لحد ما اكتشفت انها اغلي من السعر الحقيقي من المطعم حتي بعد العرض!!! دا غير ان في حاجت تحطها علي اساس انها في عرض في الاخر تيجي بسعرها القديم يعني سرقة وحاجه خرا،انا ندمان والله اني اشتركت في tablet pro ،ابلكيشن زباله و ههنشر الخبر دا!!,1,negative,code_switched,Talabat,2026-02-17 18:49:17,google_play
خصومات كاذبة و وهمية لا يتم تفعيلها عند الشراء من طلبات مارت 👎 👎 👎 False and fake discounts that are not activated when you purchase from Talabat Mart 👎👎👎,1,negative,code_switched,Talabat,2026-02-12 11:14:26,google_play
طلبت ٢ فطيرة. الفطير جة قي العلبة مقلوب. و مفيش رقم للشكاوي. They don't have a number to call for complaints. worst service.,1,negative,code_switched,Talabat,2026-02-05 23:52:08,google_play
the worst customer service in the world اخر موقف امبارح الولد قفل السكه ف وشي و بيقولي اخبط راسي ف الحيط. 5 conservative orders none of them on time and 3 of them wrong items. then they give you a voucher for 45 pounds not to mention that they repeat the same senario of it is not us it is the restaurant!!! so if you can't maintain customer or partner what on earth do u do?!!!! Two times I filed police report also cz of delivery guys who harrased my daughters!!!,1,negative,code_switched,Talabat,2026-02-03 09:20:24,google_play
bad customer service ولا عارفة اتواصل مع حد.. وبيسحبوا فلوس من الكارت للاشتراك في طلبات برو اوتوماتك حتى بعد ما مسحت بينات الكارت.. وحاولت أتواصل مع حد عشان يحل المشكلة لأنها مش أول مرة مافيش حد أتواصل معاه,1,negative,code_switched,Talabat,2026-02-03 06:21:24,google_play
Worst customer service ever. Ordered blueberries for 165 & paid by card & when Tmart called to say it wasn't available & asked me to choose something else I chose strawberries for their convenience as it was already paid & I wouldn't get a refund. They sent me strawberries that were rotten & I threw them out. Then they said they wouldn't refund me because I couldn't give the product back. Deleting the app & never ordering from them again. معلش المرة الجاية هطلع الحاجة من الزبالة و ارجعهالكم.,1,negative,code_switched,Talabat,2026-02-03 00:34:17,google_play
والله اني دفعت حق التوصيل السريع ووصل المندوب عند الباب وماوصلني رمز الotp وسحب علي وخدمة العملاء مافيه اسوء منهم بس يتعذرون بدون اي حلول واذا طفش منك حولك على موظف اخر وهاكذا بالساعات لا حل ولا تعويض ولاهم يحزنون,1,negative,code_switched,Amazon AE,2026-03-11 20:05:22,google_play
"مصر هي اسواء ادارة موجوده في امازون ولا تنظيم ولا حل مشكله ولا أي شي بتوع كلام وخلاص Egypt has the worst management in Amazon; there's no organization, no problem-solving, nothing but empty talk.",1,negative,code_switched,Amazon AE,2026-02-17 23:17:21,google_play
التوصيل سيء جدا delivery are so bad,1,negative,code_switched,Amazon AE,2026-02-17 21:38:34,google_play
حرفيا انا طلبت مايك XMC03 USB RGB لكن وصلني ٣ منظفات رحت رجعتهم للراجل وقلولي ان الفلوس توصل ١٤ فبراير الى هو النهاردة لكن للاسف موصلتش الفلوس واضحك عليا وحرفبا مفيش مراجعة اوردرات ولا نظام محدش يشتري الايام دي وانا ندمت,1,negative,code_switched,Amazon AE,2026-02-14 10:26:28,google_play
ممتاز انا اشتريت اشياء WWE من امازون,5,positive,code_switched,Amazon AE,2026-02-14 00:38:46,google_play
اسوء تجربه ممكن الواحد يسويها يسحبون من البطاقه بدون cvv وبدون رسالة تاكيديه من البنك ويعالجون المبالغ المسترده خلال شهر نون افضل منكم الف مره حسبي الله عليكم,1,negative,code_switched,Amazon AE,2026-01-28 22:42:15,google_play
ممكن تخلو طريقة الدفع عن طريق اتصالات كاش او فودافون كاش؟ بدل valu لان في بعض الناس مش عرفين يتعملو بطريقة دفع valu,3,neutral,code_switched,Amazon AE,2026-01-28 19:45:24,google_play
اسوأ تجربة وخصوصاً امازون مصر المندوب حرامي والتاجر نصاب وخدمة العملاء تقريباً هما اللي بيساعدوهم اللي حصل كالتالي طلبت ترابينو شحن معاه 2 بطارية ووصلة شاحن Type C وللأسف اللي جالي ترابينو بطارية واحدة فقط بدون حقيبة وباقي الإكسسوار. ولما عملت عملية ارجاع من يناير 2025 لحد النهاردة لم يتم الإرجاع وتواصلت مع خدمة العملاء لأكثر من مرة ويحطوني على قائمة الانتظار 4 اسابيع حتى انتهت مهلة الإرجاع وبعتولي رسالة انهم اغلقو عملية الإسترداد...ومن وقتها مردوش عليا...وحظرو استخدامي للدفع عن الإستلام,1,negative,code_switched,Amazon AE,2026-01-24 01:38:44,google_play
عطيتكون نجمة بالرغم من أن آمازون محترم بالتعامل مع الزبون بس اغلب المنتجات يلي بتبعت مع dhl على عنواني مابتوصل لانو بكتبو في خطأ في العنوان مع انو عنواني صح وتم توصيل اكثر من منتج مع dhl إلى عنواني ، لكن حسب رغبتك السائق اذا عندو رغبة بوصلها ماعندو رغبة بيكتب خطأ بالعنوان,1,negative,code_switched,Amazon AE,2026-01-14 15:22:14,google_play
أكره تصحيح الكتابة مثلا أريد أكتب old يعملهة OLED وهاذة آشي كلش اينرفز وأتمنى يسوون تحديث يصححون المشكلة 😡,2,negative,code_switched,Amazon AE,2025-12-31 22:27:09,google_play
*عدم الشفافية في البيع والخدمات * طلبت خزانة 180CM Tall Wine Cabinet MDF Wood من أمازون، لكن لم يتم توضيح أن المنتج سيصل بدون تركيب. بعد وصوله اضطررت لطلب خدمة تركيب مقابل رسوم إضافية. المفاجأة أن فريق التركيب عندما وصل رفض تركيب الخزانة بحجة أنه يجب الدفع مقابل 60 دقيقة كاملة، رغم أن تركيبها لا يستغرق أكثر من 30 دقيقة. هذا الأمر سبب لي تأخيراً وإزعاجاً كبيراً. للأسف الخدمة كانت دون المستوى، وكان يجب توضيح كل هذه التفاصيل قبل الشراء. تجربة سيئة ولن أكررها.,1,negative,code_switched,Amazon AE,2026-03-07 00:31:19,google_play
