text,likes,date,video_id,source
بيضاء الله وجهك انشهد انك تستأهل السفره حللت أمها وذي الطريقه الصح اللي الواحد ينبسط فيها,0,2025-12-09T23:53:54Z,xKH8i87CT2Q,youtube
Hola  no hablo idioma TAkakakajja,0,2025-12-04T23:02:24Z,xKH8i87CT2Q,youtube
بصراحه الامارات كلها روعه ولا غلطه❤❤❤❤,0,2025-11-21T17:58:05Z,xKH8i87CT2Q,youtube
الله يرزقنا يارب,0,2025-11-02T21:18:23Z,xKH8i87CT2Q,youtube
موفق ممكن جواب على سؤالي دخولية المناطق الترفيهية قلت ٣٠٠ درهم هل عند ركوب اي لعبة داخل المكان باجور ام مجاني يعني فقط الدخولية,0,2025-08-15T09:23:52Z,xKH8i87CT2Q,youtube
ان شاء الله ازور دبي قريب,0,2025-08-10T17:19:51Z,xKH8i87CT2Q,youtube
كلمة أنت رااااائع قليلة في حقك انت فعلاً اي وصف جميل لا يوفيك حقك لك كل الشكر ❤,3,2025-08-06T23:10:27Z,xKH8i87CT2Q,youtube
عمار يالامارات الحبيبه من قلب سعودي,1,2025-07-26T22:52:17Z,xKH8i87CT2Q,youtube
حب. ابدي. دبي. ❤❤❤/٣,0,2025-07-03T08:13:01Z,xKH8i87CT2Q,youtube
شكرا جزيلا لك على التقرير استمر,0,2025-06-28T23:23:36Z,xKH8i87CT2Q,youtube
راح جربها اسبوع ❤❤❤❤❤❤,1,2025-06-27T00:45:49Z,xKH8i87CT2Q,youtube
"شكرا, تقرير مميز والجميل فيه أنه مع  ذكر الأسعار, أتمنى فيديو عن نشاطات أخرى ممكن نسويها بأسعار معقولة",1,2025-06-09T21:17:55Z,xKH8i87CT2Q,youtube
Klook و الموقع التاني ايه أسمو ؟؟,0,2025-05-19T10:21:28Z,xKH8i87CT2Q,youtube
الله,1,2025-05-17T23:19:42Z,xKH8i87CT2Q,youtube
حرام ما تقدر الامارات مجهودكم,1,2025-04-30T19:49:18Z,xKH8i87CT2Q,youtube
"Toxiccccccccccvcccccccvvvvv
Fi  balado  wa  ma3a  3iri  
Il  3ahra     izanya  il  watya  
Toxiccccccvvccccccccccv
Il  3ahra   il  kalba  il  mas7aaaaaa?(3",0,2025-04-09T07:07:55Z,xKH8i87CT2Q,youtube
"Ya  3ahra   ya  watya  ya  Manzousa    YA  kalba  watya  
YA  mas7a  YA  zbala  bachariya  YA  watya  YA  tafha  wa  mas7a  
Toxiccccccccccccccccccccc
masmoumaaaqqqqqqqqqqqqqaaaaaaa(3",0,2025-04-09T07:04:27Z,xKH8i87CT2Q,youtube
❤❤❤debai❤love❤❤❤***(3,0,2025-04-07T06:34:19Z,xKH8i87CT2Q,youtube
ممتاز,1,2025-04-01T07:32:13Z,xKH8i87CT2Q,youtube
شكرآ على المعلومات  حجزت لشهر الثامن ان شاءالله ❤,0,2025-03-25T01:47:37Z,xKH8i87CT2Q,youtube
"تقرير رائع ويشجع لزيارة دبي مره اخرى .. لدي سؤال هل مسموح التصوير الفوتوغرافي بالكاميرا للمباني والفعاليات وداخل دبي مول والامارات مول ؟
مع خالص الشكر",1,2025-03-23T01:51:14Z,xKH8i87CT2Q,youtube
متى أسافرر,0,2025-03-18T05:09:02Z,xKH8i87CT2Q,youtube
اروع تقرير ومع الأسعار ❤❤😊,1,2025-03-12T13:02:37Z,xKH8i87CT2Q,youtube
منو يرد عليه رايح للامارات عراقي اريد استفسر على الاسعار وشكد نحتاج ؟,1,2025-02-25T19:15:29Z,xKH8i87CT2Q,youtube
عيال زايد يا أبناء الزنا كفو أيديكم عن التدخل في السودان يا رعاة الارهاب تمويلكم لمليشيا الدعم السريع الارهابية مرصود وسنفضحكم دوليا,0,2025-02-23T19:56:39Z,xKH8i87CT2Q,youtube
nice  country,1,2025-02-18T12:28:07Z,xKH8i87CT2Q,youtube
"nice  country  and 
i  wish  you  are  fine       but   want your   freind  reading   my   post   but   
please and please be careful about natural disaster in your country but i wish you are fine and have a nice day with peace and have a good healthcare  and  going  an  oher   country   and   no   death   in  your  country and    i   wish    you   are    fine    and    have     a    good      healthcare     and    
please    send    my post for   your     freind     because    i  wish      you    are     fine       and     have     a     good     healthcare    about   your    freind    in   the  world  and  i    want    every    people     are   fine",0,2025-02-18T12:27:36Z,xKH8i87CT2Q,youtube
"بارك الله فيك اخونا 
اخذتنا في جوله خياليه في مدينة دبي الساحره الجميله ❤",3,2025-02-09T23:28:33Z,xKH8i87CT2Q,youtube
التشجير قليل في الامارات ❤,1,2025-02-07T08:59:38Z,xKH8i87CT2Q,youtube
افضل بليد في عالم يا دبي 🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻👍🏻👍🏻,3,2025-01-31T15:28:16Z,xKH8i87CT2Q,youtube
المفترض دولة الامارات اتقدركم و تعطيكم جوائز على حلقات دبي . أنت خليجي و خونا و طيب و تستاهل,2,2025-01-30T13:38:51Z,xKH8i87CT2Q,youtube
شرح جميل جدآ لكن اغلب الامامن سعرها غالي جدا للاسف,0,2025-01-27T17:14:52Z,xKH8i87CT2Q,youtube
ذهب السودان,1,2025-01-21T10:10:15Z,xKH8i87CT2Q,youtube
الله احفض دبي واهل دبي يارب العالمين بتوفيق انشاء الله  وماشاء الله ❤❤✌🏻,2,2024-12-17T10:15:34Z,xKH8i87CT2Q,youtube
👍👍👍👍,2,2024-12-16T01:08:00Z,xKH8i87CT2Q,youtube
محترمين واكابر الله يحميكون 🥰🥰😍😍,1,2024-12-09T18:50:58Z,xKH8i87CT2Q,youtube
انا سلطنة عمان ولم أزور دبي اطلاقا ونفسي ازورها لولا الظروف الماديه 😢,1,2024-11-17T11:02:34Z,xKH8i87CT2Q,youtube
بارك الله فيك...مجهود ممتاز معلومة مفيدة واضحة وتقريبا كل معالم دبى ...ولكن عندى شغف بالتعرف على شخصكم الكريم,1,2024-11-03T00:20:11Z,xKH8i87CT2Q,youtube
والله دبي ماتحلى عندنا الا يوم تشوف اخوانا العرب كلهم فيها يامرحبابكم,3,2024-10-30T23:36:51Z,xKH8i87CT2Q,youtube
انت انسان محترم جدا وقناتك جميلة و رائعة ❤,1,2024-10-26T16:55:04Z,xKH8i87CT2Q,youtube
بعد سفرات عده لاوروبا وبعض دول العالم احب اقلك انو افضل بلد بالعالم للسفر هي الامارات. لا في نصب ولا سرقه بالشوارع ولا اطلاق نار ولا لعب بفواتير المطاعم ولا عنصريه للمحجبات ولا ولا ولا وعد. ويلي يقلك ما فيها شي وكلها صناعيه اقلك لا انت غلطان فيها كل شي من راس الخيمه لأبو ظبي ، انت وهمتك. للعائله جدا مناسبة ، لقصر المسافات بين الاماكن وهاي مهمه جدا عشان الوقت. مع العلم انا مقيم في امريكا من ٩ سنوات وانزل مع عيالي للإمارات كل سنتين. والسلام ولنا لقاء قريب بالامارات ❤,40,2024-10-26T15:56:04Z,xKH8i87CT2Q,youtube
يا رب ارزقني زيارة دبي انا و زوجي و ابنائي فأنا أحبها كثيرا,2,2024-10-20T15:38:49Z,xKH8i87CT2Q,youtube
عندنا فى مصر اماكن افضل من ديه بكتير,1,2024-10-02T13:55:53Z,xKH8i87CT2Q,youtube
رجعوني كي نمشي لدبي😂😂انا صفاقس ممشيتلهاش 😢😂احلامي كبيره🙂🙂,0,2024-09-29T13:17:28Z,xKH8i87CT2Q,youtube
🎉🎉🎉,0,2024-09-25T11:01:37Z,xKH8i87CT2Q,youtube
يا الله كتبت اول تعليق قبل ما اسمع اخر جملة وهي الدعاء لاهلنا في فلسطين جد شكرا من قلب فلسطين ❤ بالتوفيق,8,2024-09-16T06:47:59Z,xKH8i87CT2Q,youtube
الفيديو خيال شكرا,1,2024-09-16T06:47:26Z,xKH8i87CT2Q,youtube
"انااا مرحبا أزور دبي مرتين 
وايييييد حلوة دبي",2,2024-09-13T07:17:12Z,xKH8i87CT2Q,youtube
I wish you make vlog about food,0,2024-09-13T07:12:07Z,xKH8i87CT2Q,youtube
"جميلة الحلقة 
اتمنى عمل حلقة عن النرويج شكرا",2,2024-09-13T01:14:29Z,xKH8i87CT2Q,youtube
Nicely done,2,2024-09-13T01:12:37Z,xKH8i87CT2Q,youtube
الله يسعدك وين ماكنت صور لنا الكويت والبرامج اللي فيها السياحية,0,2024-09-12T19:43:56Z,xKH8i87CT2Q,youtube
هههههههههههههههههه بس اين الناس,2,2024-09-10T14:19:10Z,xKH8i87CT2Q,youtube
والله مع احترامي ليك زرت دبي وما عجبتني تحس انه كل اصطناعي وبكل صراحة ابهرتني تركيا اكثر لجمالها الطبيعي,0,2024-09-05T19:55:18Z,xKH8i87CT2Q,youtube
Ассаломалеком хурмат Камол лаек мамадеров Дубае,0,2024-09-02T00:59:22Z,xKH8i87CT2Q,youtube
❤,1,2024-09-01T12:52:19Z,xKH8i87CT2Q,youtube
الاسعار في متناول كريستيانو رونالدو,7,2024-08-30T00:27:40Z,xKH8i87CT2Q,youtube
تبارك الله هادي هي الدولة لي باين عليها البيترول,2,2024-08-29T20:22:30Z,xKH8i87CT2Q,youtube
ما شاء الله تبارك الله يارب اعيش بقية حياتي في السعودية وعن طريق أصبح ملياردير,2,2024-08-28T12:22:36Z,xKH8i87CT2Q,youtube
ماشاء الله اخي خالد معلمومت شاملة بوركت يداك تحياتي لكم وللعائلة الكريمة دائما مميز ومتميز الله يوفقك يارب في جميع اسفارك واينما حطت رحالكم اخوكم جهاد من سوريا,2,2024-08-27T12:03:35Z,xKH8i87CT2Q,youtube
حتى دبي الي مليون مره رحنا لها احلى في فيديوهاتك 😂,1,2024-08-26T13:57:02Z,xKH8i87CT2Q,youtube
راح اشتكي عليك بوزارة الأعلام اقول مايطلع وجهه وهو يتكلم,0,2024-08-26T13:47:52Z,xKH8i87CT2Q,youtube
والله أشتاق لفديوهاتك كثيرا لا تطل علينا الغياب جزاك الله خيرا...منابعك من الجزائر,2,2024-08-25T17:03:04Z,xKH8i87CT2Q,youtube
راااائع وانت كمان راااائع في اخلاصك في شغلك ودقه معلوماتك ومادتك المنظمه الممتعه 🙏🙏🌹🌹🌹🌹🌹 الففف شكر علي مجهودك وعلي الجوله الراااائعه 🌹🌹🌹🌹🌹❤️,3,2024-08-25T10:01:16Z,xKH8i87CT2Q,youtube
احلى واجمل وارق قناة ❤❤❤,3,2024-08-25T08:05:40Z,xKH8i87CT2Q,youtube
كفيت و وفيت 🫶🏻,3,2024-08-24T20:52:49Z,xKH8i87CT2Q,youtube
القناة خمسة نجوم ⭐⭐⭐⭐⭐,6,2024-08-24T20:02:57Z,xKH8i87CT2Q,youtube
رهيب,4,2024-08-24T16:06:07Z,xKH8i87CT2Q,youtube
دبي في الشتاء اما في الصيف أهرب بسبب الرطوبة العالية,5,2024-08-24T14:27:52Z,xKH8i87CT2Q,youtube
إلى اصحاب التميّز والأفكار التي تحمل الفكاهة وبصمة المشتاق.. أزكى التحايا وأجملها وأنداها وأطيبها.. أرسلها لكم بكل ودّ وإخلاص. عمل متميز و دائم.. والجميل دائم محفوظ.. لا أفكر في يوم مضى، وإنما بجمال وقوفكم بجانبي. ماذا أقول.. عن هذه الشخصيّة الرائعة الرائعه المحترمه و القناة المرحة و تصوير زوجتك و الرحلات.. فالكلمات والعبارات لن توفيه شيء من حقه ولو بجزء بسيط عن ما قدم.,10,2024-08-24T13:59:29Z,xKH8i87CT2Q,youtube
اخيراً حلقة جديدة أنا من زمان بنتظاركم 🎉🎉🎉🎉,8,2024-08-24T13:58:07Z,xKH8i87CT2Q,youtube
"يعجز لساني عن الشكر و أحب الاحترام في القناة.
ذكرت أستاذ خالد ان التنسيق و التصوير زوجتك 
هل ممكن التواصل معها",9,2024-08-24T13:46:44Z,xKH8i87CT2Q,youtube
أنا جديد على القناة و أحب اخبرك عن جد انو هذه افضل قناة في العالم. نحبكم في الله و شكرا جزيلا,15,2024-08-24T13:44:37Z,xKH8i87CT2Q,youtube
احلى قنات ❤,12,2024-08-24T13:31:07Z,xKH8i87CT2Q,youtube
رائعة يا دبي,15,2024-08-24T13:19:18Z,xKH8i87CT2Q,youtube
"نورتنا بستناك بشوق و لهفة
و كالعاده تقديم مميز و مفيد و لا منافس في ساحتك",15,2024-08-24T13:01:43Z,xKH8i87CT2Q,youtube
السياحة صارت عبارة عن أكل بكل الدول العربية سواء عراقيِّن أو عرب ماشفت واحد نشر عن ثقافة البلدان إلاّ ما ندر .,0,2026-01-26T13:34:01Z,wCgjYTWUDhY,youtube
الاسعار خو ماكو شي😮,1,2026-01-14T16:20:35Z,wCgjYTWUDhY,youtube
اكلات كلهة دهون وسكريات تاكل منا ورة نص ساعة يصيبك تعب مو طبيعي من تعب الكبد من ورة الدهون والسكريات تدمر جسمك بدرجة مو طبيعية التعب اللي صار عندك مو من ورة الجو عزيزي,1,2026-01-11T01:43:33Z,wCgjYTWUDhY,youtube
القرية العالمية مو بالإمارات؟,1,2025-12-31T07:12:44Z,wCgjYTWUDhY,youtube
"٤٠ درهم يعني ١١ دولار يعني بالعراقي تقريباً ١٦ الف 
🔥 نار الاسعار",17,2025-12-29T03:19:19Z,wCgjYTWUDhY,youtube
ولك اربعين درهم يعني 18الف عراقي,10,2025-12-26T07:46:18Z,wCgjYTWUDhY,youtube
بدون موسيقى وأغاني,2,2025-12-25T19:13:14Z,wCgjYTWUDhY,youtube
"fold سيئة جدا
over rated",0,2025-12-23T04:55:30Z,wCgjYTWUDhY,youtube
اعتبروني صورته 😂😂😂😂😂,4,2025-11-20T20:54:36Z,wCgjYTWUDhY,youtube
"ياجماعه قولوا ماشاء الله لاتمرعوا الناس 
يمكن معاهم حد يشاركهم الاكل",1,2025-10-11T13:30:59Z,32a2fLkSNWM,youtube
يا عيييين,0,2025-01-14T07:01:31Z,32a2fLkSNWM,youtube
ماشاء الله  انت بطنو ايش انت انت بطنو غسالة 🤣🤣🤣,1,2024-12-20T10:30:08Z,32a2fLkSNWM,youtube
انتوا عندكوا معدة زينا ولا كيس بلاستيك الكبير ولا الكيس الأسود الكبير ده 😂😂😂,1,2024-11-23T06:07:28Z,32a2fLkSNWM,youtube
You both are good guys I was there when you shooting,0,2024-11-21T06:19:13Z,32a2fLkSNWM,youtube
جرب البيت البوسني في القريه العالميه,0,2024-11-20T18:03:46Z,32a2fLkSNWM,youtube
اكل كله بريحة الدم والقتل والدعارة لا سلم الله الامارات ياقتلة الشعوب,0,2025-11-04T09:19:46Z,jvrFnnlQ9MY,youtube
ومطعم وادي دعن,0,2025-03-26T13:01:43Z,jvrFnnlQ9MY,youtube
فيه مطعم طيبه مندي كويس   وكذلك المراسيم,0,2024-12-13T12:52:56Z,jvrFnnlQ9MY,youtube
شكل الكباب مو بلدي مستورد,1,2024-07-10T13:43:25Z,jvrFnnlQ9MY,youtube
الاسعار كم,1,2024-04-03T11:57:02Z,jvrFnnlQ9MY,youtube
مابتقولش الاسعار ليه,1,2024-02-14T08:07:43Z,jvrFnnlQ9MY,youtube
الف عافية بس بلا زحمة الأسعار 😊,1,2023-06-24T23:53:03Z,jvrFnnlQ9MY,youtube
الف عافية,1,2023-06-23T20:43:45Z,jvrFnnlQ9MY,youtube
كيف أسعار هذا المطعم كأنه فاضي,0,2025-04-03T20:42:38Z,XSWTuisSi0w,youtube
يلعن ابوكم على ابو مطاعم دبي واهل غزه يموتون من الجوع، شيء مخزي,0,2024-01-22T16:29:49Z,XSWTuisSi0w,youtube
فعلا الديكور جدا جميل😍😍 والأكل اللبناني معروف بطعمه المميز✨✨,0,2024-01-18T20:16:15Z,XSWTuisSi0w,youtube
"كل التحيه والتقدير. لراعي هذا المطعم  خالي الدكتور امين الحلقبي. 
تحيه له من قلب البزي عبدالوهاب الجرادي قرية الجعيفري محافظه الضالع مديرية دمت 

رعاك الله يادكتور امين وزادك الله من فضله",0,2026-03-06T04:18:09Z,5eXVMqqX534,youtube
روحي مطعم مراسيم في دبي جدا تحفه وفنان وصوري وعطينا رايك عنه❤,0,2026-01-30T14:51:03Z,5eXVMqqX534,youtube
"اليمن لها من النجوم سهيل
ومن السيوف الصمصامة
ومن الملوك ذو القرنين
وبلقيس
ومن القصور قصر غمدان
ومن الشعر حسان بن ثابت وامرؤ القيس.. الخ
قال عنهم المصطفى (( يطلع عليكم خيار اهل الارض وما ان ظهروا حتى كانت قافلة يمانية)) 
اللهم باسمك الاعظم الذي اذا دعيت به اجبت ان ترد اليمن واليمنيين اليك ردا جميلا🇾🇪",0,2025-08-08T07:46:16Z,5eXVMqqX534,youtube
اللهم بارك,0,2025-07-25T22:08:29Z,5eXVMqqX534,youtube
ليش بتستغربوا احنا اصل الحضارات حضارة سبا ومعين وقتبان ....يمني وافتخر,0,2025-07-06T08:24:12Z,5eXVMqqX534,youtube
تحصل المسؤولين كلهم الذي سرق اليمن كلهم هناك جالسين😂😂😂,0,2025-03-14T06:33:49Z,5eXVMqqX534,youtube
"الامارات ماتحلو بدون مطاعم اليمن عيشت اجيال ولله  خاصة حقين حضرموت الشعب اليمني ماشاءالله شعب شغل و تعب, منهم لمن انا قده كنت العب فشارع و هو يشتغل في مطعم من وقته ماشاءالله ربنا يخليهم و يرزقهم",0,2025-03-12T20:33:50Z,5eXVMqqX534,youtube
‏صراحة المطعم اليمني إذا ماكان صوت الدافور والصياح مغطي على المكان ماله طعم,0,2025-02-02T22:41:23Z,5eXVMqqX534,youtube
وصلنا لاسرائيل في دقايق  وصنعنا المعجزات كيف بديكور مطعم ؟,0,2025-01-12T17:55:09Z,5eXVMqqX534,youtube
اذكروا الله وقولو ما شاء الله تبارك الرحمن,0,2025-01-10T20:05:36Z,5eXVMqqX534,youtube
"فديتنا بس والحلا فينا.... 🙂

(مـــــــــرت يـــــــمـــــــنـــــــــــيـــــــــــة من هـــــــنا)🇾🇪",1,2025-01-10T07:22:04Z,5eXVMqqX534,youtube
"الله يبارك فيهم
استقبلوناء بحترام",1,2025-01-09T16:05:27Z,5eXVMqqX534,youtube
مشاء الله الله يرزقهم ياااارب اي ولله اين الفحسه والسلته احلى شي السلته والفحسه تجنن,1,2025-01-09T12:33:36Z,5eXVMqqX534,youtube
يالحبيب يالحبيب انت وغيرك وغيرك ف مطعم يمني ف الصين يضيع هذا بكل شيء يعني بتشوفونه بتجنوون,1,2025-01-08T22:31:03Z,5eXVMqqX534,youtube
يخساره ليش ماحط  مناضارطبيعيه من التراث والأماكن التاريخيه اليمنيه  كان بيكمل الفخامه أو الامارات طبعا وفعلا متعمدبن تهميش اليمن,0,2025-01-07T22:49:25Z,5eXVMqqX534,youtube
الاكل اليمني حضارة بحد ذاته,1,2025-01-06T17:05:07Z,5eXVMqqX534,youtube
الله يفتح عليه ابو فاطمه العرشي,0,2025-01-06T00:19:28Z,5eXVMqqX534,youtube
المطعم اليمني اذا ماكان الجدار ملطخ بدخان التنور والحرضه مكسوره ومربوطه بسلك ووين الفحسه وهات السلته وواحد رشوش وا وليد .. ما له طعم ولا ذوق اذا ماسمعت صوت  النار بتحرق المحاسي  فانته في مطعم إيطالي,5,2025-01-04T15:12:31Z,5eXVMqqX534,youtube
انت حق غرفه نوم,0,2025-01-02T21:18:21Z,5eXVMqqX534,youtube
اموال وسيوله مسروقه بمئات الملايين من الدولارات من قوت وتعب وشقاء الشعب اليمني المطحون بالفساد والغلاء وسوء الخدمات !,1,2025-01-01T14:55:56Z,5eXVMqqX534,youtube
والله زودها,0,2024-12-31T19:57:09Z,5eXVMqqX534,youtube
ايش الاستهزاء هذا اليمن بلد الحضاره كل شويه وانت تسأل مطعم يمني او ايش حسستني انت وووووو انتوا كنتوا  رعيان,2,2024-12-31T19:55:01Z,5eXVMqqX534,youtube
اليمن اهل حضاره ورفاهيه وعراقه وتاريخ,1,2024-12-31T04:15:46Z,5eXVMqqX534,youtube
من اموال الشعب اليمني 😢 المنكوب,0,2024-12-30T19:01:33Z,5eXVMqqX534,youtube
تجار اليمن شردو من اليمن بسبب الأوضاع,0,2024-12-30T16:14:44Z,5eXVMqqX534,youtube
ماشاء الله تبارك الله الله يبارك له فيه,0,2024-12-28T23:22:33Z,5eXVMqqX534,youtube
يقول بسخريه ،متأكد ان هذا المطعم يمني اليمنين اسيادك وهم من بناء وانشاء بلادك ومن يعمرها ويخلي التجاره فيها عاليه وفوق,1,2024-12-20T16:14:03Z,5eXVMqqX534,youtube
"والله افخم مطعم شفته بحياتي ما شاء الله اللهم زد وبارك عاد لو سافرت لدبي بيكون هذا اول مطعم راح اجربه وبحطه في قائمتي المفضله
تحيه من السعوديه لليمن وللامارات 🇾🇪🇦🇪❤🇸🇦",5,2024-11-30T08:47:29Z,5eXVMqqX534,youtube
🇦🇪🤍الله يحفظكم عيال زايد,0,2024-11-29T12:16:41Z,5eXVMqqX534,youtube
ماسبرت إلى للبراغله اللي مايعرف يسولفو,0,2024-11-17T13:36:07Z,5eXVMqqX534,youtube
خل أبوك يشتغل عليه...,0,2024-11-10T16:33:06Z,5eXVMqqX534,youtube
"مطعم ابو رعد القطنه 
الي استضاف فهد جعموم",0,2024-11-08T14:50:39Z,5eXVMqqX534,youtube
يسخر من اليمنيين ويقول متأكد أنه مطعم يمني بقلة حياء مش عارف أن اليمنيين بنوا اول ناطحات السحاب وشقوا الجبال وصنعوا المدرجات الزراعية بس تفاهة ببعض الناس,0,2024-11-07T00:20:34Z,5eXVMqqX534,youtube
بسبب سياست بلادنا طفشوا التجار وراحوا يستثمروا في الخارج,0,2024-11-01T22:26:18Z,5eXVMqqX534,youtube
ماشاءلله ان شاءلله بخرج خسترته في نجهيز المطعم وبكون عليه اقبال قوي كمان المظاهر  تلعب دور في ديكور و الرسومات لما يكون المطعم شكله نظيف فخم الناس تحب المظاهر بدات الاغنياء  والاكل اكيد بيكون حلو لانه اكل يمني بيجيب طباخين كوبسين عشان تكتمل نجاح المطعم  في ناس تجار ماشاءلله عندهم حس تجاري وفنون الفن ❤,2,2024-11-01T21:51:54Z,5eXVMqqX534,youtube
هذا افخم مطعم على مستوى العالم اروع اكل وانظف اكل مافي اكل مثل اليمني.,0,2024-10-27T10:19:54Z,5eXVMqqX534,youtube
انتم فالحين تأكلون وتشربون بس خليج الكبسة 😂😂😂,0,2024-10-27T09:48:49Z,5eXVMqqX534,youtube
ليس،بغريب على اليمنيين انتو مش والفين على الفخامة والعراقة والاصالة حقنا,0,2024-10-26T07:06:37Z,5eXVMqqX534,youtube
سو لنا طلب أطلع اطلب الله,0,2024-10-25T18:03:56Z,5eXVMqqX534,youtube
هذا مطعم المراسيم الفرع الرئيسي موجود في عدن ونفس الديزاين والجودة,0,2024-10-23T21:34:21Z,5eXVMqqX534,youtube
ماشاء الله الله يبارك لهم,0,2024-10-18T19:20:49Z,5eXVMqqX534,youtube
استغفر الله العظيم واتوب اليه,0,2024-10-15T21:30:53Z,5eXVMqqX534,youtube
سبحان الله وبحمده سبحان الله العظيم,0,2024-10-15T21:30:32Z,5eXVMqqX534,youtube
؟,0,2024-10-14T06:15:31Z,5eXVMqqX534,youtube
اهم شي لذة و طعم ونوعية و نظافة الاكل مايهم الديكور,0,2024-10-13T13:50:09Z,5eXVMqqX534,youtube
أيضاً يوجد في عدن اليمن مطعم اسمه المراسيم من افضل مطاعم اليمن 🇾🇪,0,2024-10-13T10:07:50Z,5eXVMqqX534,youtube
مشا الله تبارك الله,0,2024-10-12T23:58:36Z,5eXVMqqX534,youtube
اليمن تستاهل,0,2024-10-12T19:13:28Z,5eXVMqqX534,youtube
"المهم اللقمة الحلال، لكن طالما نساء ومتبرجات فقد دخل في المشتبه.
 المسلم العاقل همه الأول الحلال الخالص قد المستطاع قبل الربح الكثير.
 أنصح صاحبه بتصحيح الأمر، وإن وجدت امرأة متسترة في قسم خاص بالنساء فنعم.",0,2024-10-12T06:02:21Z,5eXVMqqX534,youtube
الحمد لله احنا اليمنيين مبدعين دائما صلو علي النبي. في التعليقات,1,2024-10-11T02:44:48Z,5eXVMqqX534,youtube
جميل. وكامل والكمال لله. ربي يرزقه من حيث لا يحتسب يعوضكل خساراته,0,2024-10-11T02:44:07Z,5eXVMqqX534,youtube
