text,true_label,original_confidence,masked_confidence,delta
وهنا، تحول الفول من نبات صعب لSuper Hero،,neutral,0.989,0.0002,0.9888
لمحطه الغاز المسال الامريكيه Sabine Pass,neutral,0.9958,0.0003,0.9955
ليش ما توصلون لي جميع محفظات سلطنه عمان الرجاء الرد لوسمحتو وصلو لي جم,negative,0.9692,0.9476,0.0216
كانت شغاله بال NiCad,neutral,0.9951,0.0065,0.9886
وبالفعل، نجح الاتنين في ابتكار طريقه افضل لاستخلاص الPenicillin،,positive,0.9981,0.0638,0.9342
ممكن مثلا من ناحيه ال responsibilities، اجازات,positive,0.986,0.019,0.967
البرنامج دا روعه واشكر صاحب البرنامج واكلاتهم خطيره [POS_EMOJI] وبالنس,positive,0.9874,0.7225,0.2649
هيخليهم، يا عزيزي، يمسكوا الAUX مقابل الرعايه الماديه،,positive,0.9899,0.0936,0.8963
كان في واحده صاحبتنا هناك معاها كاميرا و كانت اصلا trip تبع اجانب و تب,neutral,0.9974,0.0002,0.9972
واستعانوا في هذه الحفله بالراقصه Little Egypt،,neutral,0.9972,0.0003,0.9969
ال I index بتاعي تمانيه و ال H-index تمانيه فعندي good citations plus ,positive,0.997,0.9975,-0.0006
"شركه زي ""انفيديا"" اللي اهتمت بمجال الGraphics،",neutral,0.9984,0.0002,0.9982
Okay طيب، ممكن تحكيلنا عن دراستك مثلا اكتر، يعني بتدرس ايه؟ اتعلمتوا ا,positive,0.9972,0.0805,0.9168
يعني حسيتها recently اكتر لما كبرت كمان و فهمت فحسيت انه بلاقي الناس ب,neutral,0.9991,0.0003,0.9988
طيب و بتحس بصعوبه او كده و انت بتتعامل مع ناس of different social leve,neutral,0.9992,0.0003,0.9989
يعني كل واحد بشوفه role model في حته معينه,neutral,0.9993,0.0002,0.999
في كتابه، From Caligari to Hitler,neutral,0.9991,0.9977,0.0014
افضل تطبيق [POS_EMOJI],positive,0.9941,0.9916,0.0026
لكن لما اقولك، Nucflash،,negative,0.9821,0.9807,0.0014
"كCategory لوحدها، يعني ""نيوتن"" عالم دين.",neutral,0.9969,0.0002,0.9967
"كان الفيلم الاعلي ايرادات في ""امريكا"" هو فيلم Rain Man،",neutral,0.9845,0.0002,0.9843
اضراب الاحد بتتخوثو عالكباتن وبتقولولهم لمصلحتكم sheeeeeesh,negative,0.998,0.9557,0.0424
من افضل برنامج كل ما تريد كل ما تشتهي [POS_EMOJI] [POS_EMOJI] [POS_EMO,positive,0.997,0.1821,0.8149
طيب، لو جاتلك .. لو جاتلك فرصه ان انت تسافر برا ب scholarship او ب job,positive,0.9712,0.0188,0.9524
"زي ""رونالدو"" البرازيلي، الظاهره، ""رونالدينيو""، ""تيري هنري""، والGolden ",neutral,0.9538,0.0002,0.9536
و قشطه بحب العربي برضه بس مش .. مش زي ال English اوي يعني,neutral,0.9961,0.0003,0.9958
انا بتعلم حاجات كتير جدا، منها ان انا ازاي اعمل web applications، ازاي,neutral,0.9983,0.0002,0.9981
بس كان لسه فاضل اهم حاجه، الSystem.,neutral,0.9992,0.0002,0.9989
تطبيق فاشل. والعاملين علي خدمه العملاء وجودهم زي عدمهم مالهم فايده طلب,negative,0.9964,0.9566,0.0398
برنامج تافه ما طلعلي غير مطعمين ومكه فيها مطاعم توصيل [NEG_EMOJI] [NEG,negative,0.9941,0.9694,0.0247
جيد جدا [POS_EMOJI],positive,0.9875,0.9916,-0.004
تطبيق جميل و ويوفر جميع المطاعم ممتاز بالنسبه لي [POS_EMOJI],positive,0.9924,0.937,0.0555
وبالرغم من هذا وقتها ما سلم من ملاحقه ال FBI,neutral,0.9984,0.0002,0.9982
عارف، يا عزيزي، ليه النمر ما بيشتريش Sim Card؟,neutral,0.9988,0.0003,0.9986
ولا اروع [POS_EMOJI] [POS_EMOJI],positive,0.9961,0.9835,0.0126
وتعرف من (Reception Rate)* فتعطيك تنبغيه,negative,0.9364,0.9959,-0.0595
واسسوا الوكاله الدوليه للطاقه IEA,neutral,0.8151,0.0003,0.8148
ال Dark Meat او اللحمه الغامقه,positive,0.9937,0.0029,0.9909
بس you have to read,neutral,0.9991,0.9983,0.0008
طيب انت ايه ال dream job بتاعك؟,positive,0.9991,0.0061,0.9931
بشوف ال Nokia 1110,neutral,0.8328,0.0408,0.792
[POS_EMOJI] [POS_EMOJI] ممتاز,positive,0.9937,0.9846,0.0091
بعد كدا، الميه اللي عملت مشوار في الDistrict دي,positive,0.9987,0.0585,0.9402
ولله قهر ابي وادي الدواسر [NEG_EMOJI] [NEG_EMOJI] [NEG_EMOJI],negative,0.9904,0.9774,0.013
انا جداااا فخوره ب تطبيق طلبات لانه ممتاز ف كل شئ [POS_EMOJI] [POS_EMO,positive,0.9965,0.6371,0.3594
عن طريق الCommutators.,neutral,0.9825,0.9283,0.0541
اضطرات تبغيع قسم الانتاج بتاعها، الFABs بتاعتها،,neutral,0.9822,0.0002,0.982
ولكن المفاجاه ان كلمه Mokusatsu ليها معاني كثيره في اليابانيه،,neutral,0.9965,0.0002,0.9963
بجانب راسه المقطوع كتبوا Red or Dead,negative,0.9976,0.9933,0.0044
"كنت في الجامعه, بعدين اشتغلت TA في نفس الجامعه اللي انا درست فيها يعني",neutral,0.9992,0.0003,0.999
التطبيق وحش جدا انا بيقولي مش ييوصل للمنطه بتعتي [NEG_EMOJI],negative,0.9938,0.9914,0.0024
انت عملت الBar بتاع الImpressing بتاعي بقي عالي اوي،,positive,0.9991,0.0173,0.9818
لتاسيس خط انتاج الملابس الداخليه بيحمل اسم CR7 Underware.,neutral,0.998,0.0002,0.9978
جدا فاشل الطلب يطول لين يجي طلبه من 11م وصلت الطلبيه الساعه1ونص اخر ال,negative,0.9938,0.9872,0.0065
شوهاد كلو حساب ممل [NEU_EMOJI] [NEU_EMOJI] [NEU_EMOJI] [NEU_EMOJI] [NE,negative,0.9896,0.9801,0.0095
قالت صراحه كلامك يا ناصر يبدو انه masculine toxicity,neutral,0.8739,0.0002,0.8737
ف if you want to avoid these two things you definitely need to sleep l,neutral,0.9983,0.9989,-0.0006
برنامج نصاب العصير كله خفيف والافوكادو مر جدااااا واترمه هو و المانجا ,negative,0.9964,0.9774,0.0189
دا كان اول اتهام مباشر من ASML﻿ للصين﻿,neutral,0.9014,0.0003,0.9012
مدرسه بعيده، مدرسه قريبه، برضه في factors تانيه كتير,neutral,0.9991,0.0002,0.9988
افضل طلبات اون لاين بلا منازع [POS_EMOJI] [POS_EMOJI],positive,0.9968,0.2678,0.729
Okay طيب انتي بتسافري جوا مصر كتير,positive,0.9966,0.0291,0.9676
ممتاااااااز [POS_EMOJI] [POS_EMOJI],positive,0.9951,0.9823,0.0128
البرنامج ممتاز [POS_EMOJI],positive,0.9955,0.9916,0.0039
سنه 1942، هيقيم الصهاينه الBiltmore Conference،,neutral,0.9821,0.0003,0.9818
تطبيق كاذب لا يطبق عروض الخصم علي اول اورود كما كان مكتوب [NEG_EMOJI] ,negative,0.9942,0.9705,0.0237
خياااااال برافو wr,positive,0.9954,0.0112,0.9842
الPass او الشوطه الصح، بتنهي الماتش.,positive,0.9399,0.06,0.8799
بل وبيعلن سنه 61 ان السوفييت الحاليين بقوا Rivisionist Traitors،,neutral,0.9913,0.0002,0.9911
FDPR اللي الامريكان حاطينها,neutral,0.9951,0.0005,0.9946
زي ال FTT واسهم في شركه روبن هود,neutral,0.9984,0.0002,0.9982
اصبحت الخدمه بطيئه ولا بعض المطاعم تتاخر بالطلبات ولا يوجد محاسبه من ق,negative,0.9935,0.987,0.0065
حسيت ان انا بقيت mature اكتر بكتير، responsible عن كل حاجه,negative,0.9989,0.9935,0.0054
لان انا حسيت فعلا ان انا I .. I really enjoy الكلام ده و I really exce,neutral,0.9993,0.0003,0.999
و بعد كده رجعت تاني جامعتي، خلصت اخر سنه ،و بعد كده سافرت النمسا عملت ,neutral,0.9992,0.0002,0.999
وبينجحوا ان هما يعملوا ما يسمي بالIntegrated Circuit،,neutral,0.9979,0.0003,0.9976
ايه؟! حتي يا (ابو حميد) طيب لو كان عندي Creative Block؟!,neutral,0.9961,0.0002,0.9959
ممتاز جدا . قد منحني التطبيق رصيد مجاني انا اشكره thanks talabat [POS_,positive,0.9991,0.9578,0.0413
حلوووو [POS_EMOJI] [POS_EMOJI],positive,0.9929,0.9835,0.0094
Okay يعني هو ماثرش فيا اوي يعني,neutral,0.9968,0.0003,0.9965
في دراسه بعنوان Conscience of Van Gogh،,neutral,0.998,0.1641,0.8339
مش بالظبط بس هو انت at some point بتتاثري بمشاكل الناس,neutral,0.9949,0.0002,0.9946
كنت طالب من كوك دور بالكود summer70 علي اساس في خصم 70 جنيه لما وصل عن,negative,0.9943,0.9459,0.0484
التطبيق لا يوصل ئلي منطقتي سيئ [NEG_EMOJI] [NEG_EMOJI] [NEG_EMOJI] [NE,negative,0.9925,0.9813,0.0112
افضل تطبيق عندي بعد google now و فليبورد وانستجرام بس ياريت لو بتزيدو ,positive,0.997,0.0508,0.9462
فمره هي صحيت الصبح و كانت تعبانه جدا جدا و اخدناها المستشفي و كده و بع,neutral,0.9993,0.0002,0.999
لا يعني .. يعني انا .. انا شخص ما .. يعني ما .. ماينفعش بسهوله ابدا ان,neutral,0.9991,0.0002,0.9989
اكتر من Post الشركه نفسها، اللي هي صاحبه المنتج.,neutral,0.9987,0.0002,0.9984
كنا سافرنا رحله ك senior year يعني بس ماكنتش senior trip و الكلام ده ك,neutral,0.9991,0.0002,0.9989
في الOffside وفي ضربات الجزاء،,neutral,0.9533,0.0002,0.9531
يعني الواحد لما بي overthink هو بيخترع scenarios بيتخيل scenarios اللي,neutral,0.9989,0.0002,0.9987
Okay حاجه اقتنقوا بيها overthinking ماحدش ي overthink,neutral,0.9932,0.0003,0.9929
اتكلمنا كمان علي صعوده كBrand،,positive,0.9985,0.0249,0.9736
وحصل الاتحاد الايبغيري الIberian Union،,negative,0.9868,0.9878,-0.001
ده مش معناه ان انا مابغلطش بس بحس بذنب كتير جدا ف at least ده بيخليني ,neutral,0.9868,0.0003,0.9865
"ماشي، انا المفروض ان انا في الاول قبل ما كنت ادخل الجامعه, كنت عايز اد",neutral,0.9993,0.0002,0.9991
قصدي مش متهور خالص، بفكر في الحاجه قبل ما اعمل الحاجه، لازم تكون hundr,neutral,0.999,0.0002,0.9988
Okay طيب و بعد كده education بقي career انت,positive,0.9992,0.0035,0.9958
اروح الGym يوم واحد، بشاميل يظهر،,neutral,0.9867,0.0002,0.9865
جميل [POS_EMOJI],positive,0.9903,0.9891,0.0012
لكن لو حاجه انا مش قادر .. يعني لو ال project,neutral,0.9993,0.0002,0.9991
فبنلاقي في فيلم The beginning of the End سنه 1957،,positive,0.9956,0.003,0.9925
"في الاول كنا بناخد physics، math, chemistry الحاجات بتاعه ثانويه عامه ",neutral,0.9917,0.0002,0.9915
هو ان الحيوانات، زي ما تقول كدا، فيها Animal Electricity، كهربا حيواني,neutral,0.9967,0.0002,0.9964
و I lost memory for مثلا two three days,positive,0.9952,0.0014,0.9938
اربع اخوان نافسو استديوهات Thats was so peak,negative,0.8609,0.9914,-0.1305
تستاهل والله كل خير ⁦ [POS_EMOJI] ⁩⁦ [POS_EMOJI] ⁩,positive,0.9979,0.9823,0.0156
وكمل وقال FTX بخير واصولنا زي الفل,positive,0.9992,0.0138,0.9854
ان هناك سالب خياره وهناك مربع الArea بتاعته بالسالب.,neutral,0.9523,0.0002,0.9521
"طيب انت المفروض دلوقتي ان انت في ال bachelor semester, ممكن تحكيلنا عن",positive,0.9992,0.0247,0.9745
Lee Soo Man مؤسس الشركه,neutral,0.9982,0.9984,-0.0002
يعني بيقول قد ايه ال planning حاجه مهمه اخطط ليومي و لحياتي و لاسبوعي ,neutral,0.9987,0.0003,0.9984
تطبيق رائع جدا [POS_EMOJI],positive,0.9932,0.9919,0.0013
كل اللاعيبه تجري، Long Ball انفراده! يلا!,positive,0.9979,0.0049,0.993
Okay كلنا بنحب عمرو دياب,positive,0.9991,0.0077,0.9914
promotion واللي هي ترويج عن هذا المنتج,neutral,0.9934,0.0003,0.9931
فدي كانت type of project قشطه عاجبني ان انا اشتغل لوحدي,neutral,0.9986,0.0003,0.9982
"و""كولينا""، زي Co-director،",neutral,0.9833,0.0002,0.9831
اي حاجه، اي حاجه انت .. انت شايفها و مقتنع بيها و حاسس ان احنا .. مقتن,neutral,0.9991,0.0002,0.9989
او خنقه بحبل او بلعبه او Whatever،,negative,0.9977,0.9787,0.019
رااااائع بمعني الكلمه للامام دائما [POS_EMOJI],positive,0.9955,0.9151,0.0804
في مسلسل امريكي مشهور اسمه «بريكنق باد» (Breaking Bad),negative,0.999,0.9967,0.0023
البرنامج تقيل فشخ يعني زباله في التحميل [NEG_EMOJI] [NEG_EMOJI],negative,0.9932,0.9824,0.0108
وفي اللحظه دي BYD قررت انها,positive,0.9989,0.0051,0.9938
انتو ابلكيشن زيباله [NEG_EMOJI] [NEG_EMOJI] [NEG_EMOJI],negative,0.9936,0.9774,0.0162
متاكد يا (ابو حميد) ان الراجل دا كان الIQ بتاعه عالي؟,positive,0.9991,0.0375,0.9616
"لان هو XY، الام XX، الام ما بتصدرش غير ""اكسات""!",neutral,0.9385,0.0002,0.9383
سيء جدا بيقولي invalid voucher رغم انه شغال ومافيش خيار التواصل مع خدم,negative,0.997,0.9707,0.0264
طريقه شرحه اصلا حلوه لان هو he is very .. يعني he's very passionate ab,neutral,0.9959,0.0003,0.9956
طلبات احسن شركه توصيل في اعالم انا طلبت اردر من هندي حبه في منتدي Jove,positive,0.9978,0.0372,0.9607
علي BYD لانها بقت بسرعه واحده من اكتر,positive,0.9965,0.015,0.9816
حاجات قليله اوي اللي بناخدها في ال hardware.,neutral,0.9877,0.0002,0.9875
جميل [POS_EMOJI] [POS_EMOJI],positive,0.9911,0.9831,0.008
بيستخدموه في حساب ال Draft او الغاطس,neutral,0.985,0.0002,0.9848
"وسماها حركه Torches of Freedom، ""شعله الحريه"".",positive,0.9949,0.0036,0.9913
ال L'ARGENT,neutral,0.9971,0.9955,0.0015
"طيب لو جتلك فرصه ان انت تسافر برا في scholarship او ان انت تهاجر, تحب ",positive,0.9969,0.0846,0.9123
"Okay طيب و انت في الجامعه, بتحب تشتغل in teams و لا لوحدك، في .. علي ا",neutral,0.9797,0.0002,0.9795
هتقابل الCEO، الPreforntal Cortex،,positive,0.9957,0.0192,0.9765
مصمم انه يطلع Direct من جسم الام لجسم الطفل،,neutral,0.9988,0.0002,0.9986
Okay طيب و ايه اكتر صفه بتحسي في الشخص اللي قدامك ان دي لو موجوده،لا ا,neutral,0.9991,0.0003,0.9988
Okay كنت major ايه او الجامعه مش لازم اسم الجامعه نفسها ال major يعني ,neutral,0.9986,0.0002,0.9984
والسرير الدورين دا يبقي بقي الLadder!,positive,0.9935,0.0237,0.9698
بينتج عن هذه التفاعلات الكيميائيه، كهربا، Electricity.,neutral,0.9954,0.0003,0.9952
"MET بحب ال CS, بس",neutral,0.998,0.9971,0.0009
و اللي كنت عايز actually اعمله كان computer engineering بس انا دخلت pr,neutral,0.9992,0.0003,0.9989
اه سافرت Paris روحتها زمان بس من فتره كبيره,neutral,0.9993,0.0002,0.9991
Okay طيب في مغني معين يتحب تسمعله او اغنيه معينه بتحب تسمعها?,positive,0.9969,0.0269,0.97
اكتر الطلبات بتتاخر او الاكل بوصل بارد [NEG_EMOJI],negative,0.992,0.9925,-0.0004
بجنن رائع شو مابدي بلاقي وزياده [POS_EMOJI] [POS_EMOJI] [POS_EMOJI] [P,positive,0.9967,0.984,0.0127
دايما يعني بيبقي في ال weekends قرايبغي لان والدي و والدتي مش قاعدين م,neutral,0.8971,0.0002,0.8968
"Flashback بقي، نهار داخلي، الحمام اللي كان فيه ""ارخميدس""،",neutral,0.9987,0.0002,0.9985
okay و من غير ما اقول اسم الفيلم؟,neutral,0.9988,0.0003,0.9985
Okay طيب ممكن تقوليلنا اتولدتي فين او منين يعني؟,positive,0.9983,0.0768,0.9215
بس فماكملتش ال task ده اوي علشان كان في concepts كتير ماعرفهاش، فضيعت ,neutral,0.9985,0.0002,0.9983
فاشل اول مافتحته بيقول هناك تحديث جديد ومش ظاهر اي حاجه مفيش كلمه تحدي,negative,0.9941,0.9623,0.0317
بنك امريكي تالت وهو Signature Bank انهار برضو,neutral,0.8595,0.0003,0.8591
"ووعده ""بيتهوفن"" انه يعزف في الConcert بتاعه،",positive,0.999,0.0374,0.9616
بس برضه it .. it feels good to less responsible ف maybe I will to say ,positive,0.9993,0.9995,-0.0002
مجله Strund، ممكن انا؟! انا، انا، هاكتب انا!,neutral,0.9758,0.0002,0.9755
ما .. لا ماكنتش حابب ان انا اخش في .. في حاجه زي كده حتي لو يعني .. حت,neutral,0.9992,0.0002,0.999
طيب ممكن تحكيلنا عن واحده فيهم و ايه ال experience اللي انت اخدتها و ك,positive,0.9476,0.1025,0.8451
عن ان استخدام جرعه واحده من الLSD ضمن برنامج علاجي للتعامل مع ادمان ال,neutral,0.9966,0.0003,0.9963
"كدا، انقذ ""ماركوس"" ملايين الاجهزه في العالم من فيروس WannaCry،",neutral,0.9964,0.0002,0.9962
والسعوديه اشترت تقريبا 30% من PFL,neutral,0.9929,0.0009,0.992
"عن طريق ما يسمي بالSelective Pressure، او ""الضغط الانتقائي""،",neutral,0.9261,0.0002,0.926
حلو بس احيانن في لخبطه ونسيان بس عادي عشان عندهم ضغوط الطلبات [POS_EMO,positive,0.9866,0.949,0.0376
واخص بالذكر الزميل Edward Soja,positive,0.9964,0.0023,0.9942
من حملت التطبيق واستغنيت تماما عن الطلب من التلفون مره ممتاز واطلب من ,positive,0.9975,0.2137,0.7838
days مافتكرهمش خالص,positive,0.9772,0.0129,0.9643
دا كمان الخواجه الاوروبي صك مصطلح الBelly Dance،,neutral,0.9928,0.0002,0.9926
تمام، Ok. انا سعيد ان الهجوم بيننا بقي رايح جاي.,neutral,0.9992,0.0002,0.9989
اسمها Stablecoins,negative,0.9979,0.0006,0.9973
Style الحكي كان قادر يخلي كل هذه الشعوب,neutral,0.9988,0.0003,0.9985
طيب انتي بعد ال .. بعد المدرسه دخلتي جامعه، دخلتي major ايه؟ و امتي كن,neutral,0.9972,0.0002,0.997
هنا، Five Cats.,neutral,0.999,0.9984,0.0006
هي ال PhD بتاعتي تبع usable security,neutral,0.9983,0.0004,0.9979
يعني I remember في CS one اينعم كنت جايب B minus بس انا كنت بشرح لناس,neutral,0.9991,0.0003,0.9988
واو برنامج رائع شكرا لاهتمامكم [POS_EMOJI],positive,0.9968,0.9082,0.0886
مافيه شي جديد عادي زي اول لو اطلب دايركت علي تلفونهم نفس الشيء والمفرو,negative,0.9971,0.9668,0.0302
حلو عجيب انصحكم نزلوه والله حلوووو [POS_EMOJI],positive,0.9935,0.929,0.0645
North وSouth، الN مع الS والS مع الN،,neutral,0.9985,0.0003,0.9982
hopefully ببقي في الجامعه around سبعه و نص، حاجه كده.,neutral,0.999,0.0002,0.9988
فده ال turning point,positive,0.9843,0.0015,0.9828
و بعدين ان هي مش .. مش based on routine، يعني مش كل يوم بتروح الشغل، ت,neutral,0.9991,0.0002,0.9989
"وبالفعل، بيشترك ""اميتاب"" بصوته بس، في فيلم Bhuvan Shome سنه ٦٩.",positive,0.9911,0.0285,0.9626
وبيفرقوا بينها وبين الAquaphobia، اللي هي عباره عن رهاب نفسي بسيط من ا,neutral,0.9987,0.0002,0.9985
I have to set my alarm في الاول وبعد كده بنزل، بفطر برضه قبل ما .. ما ,neutral,0.9696,0.0002,0.9694
طيب وحشتك حياتك و انت في الجامعه ك student يعني حياتك في ال university,neutral,0.9929,0.0002,0.9927
ليشش مافيه القصيم :( I'm very sad,negative,0.9987,0.9986,0.0001
وصاحب الكتاب المشهور، Ten Myths About Israel,neutral,0.999,0.2353,0.7637
ممتاز [POS_EMOJI],positive,0.9932,0.9891,0.0041
يعني .. يعني مثلا ال major بتاعي مثلا انا بدرس computer systems و comp,positive,0.9867,0.0098,0.9769
يعتبروا ان الUnicode، رغم انها تبدو ديمقراطيه،,neutral,0.9961,0.0002,0.9959
"ان هما يستعينوا بBarber Surgeon، ""حلاق صحه""،",positive,0.9977,0.0177,0.98
طيب بتحسي ساعات الموضوع صعب لو ببتعاملي مع ناس ال social level بتاعهم ,neutral,0.999,0.0002,0.9988
البطاريه Underdog الاخترىعات.,neutral,0.9361,0.0009,0.9351
الEQ، اللي اتكلمنا عنه دا، في الفيل كانت كام؟,neutral,0.9963,0.0002,0.996
ASML الهولنديه اللي هي بالمناسبه اكبر,neutral,0.9914,0.0002,0.9912
Okay طيب، و ايه اكتر مكان نفسك تروح تزوره دلوقتي؟,neutral,0.9173,0.0003,0.917
تطبيق مميز وسهل ومرن للاستخدام [POS_EMOJI],positive,0.9945,0.9082,0.0863
تصبع مرتفع سعر التوصيل + رسوم الخدمه + غير متوفر الدفع نقدا [NEG_EMOJI,negative,0.9954,0.9903,0.0051
واللي بالمناسبه، قريبه من كلمه Hole اللي معناها حفره او ثقب.,negative,0.8114,0.9431,-0.1317
بيكون هو الميت، الGhost، الشبح،,neutral,0.9976,0.0003,0.9973
من Cinna - Cinnabon او، يا عزيزي، طائر القرفه.,positive,0.9927,0.0127,0.98
Speaker13: او الحريه,positive,0.999,0.0062,0.9928
بس في الاخر، راحت ولا جت، هي حته معدن، بس خلينا نقول Electrodes.,neutral,0.9986,0.0002,0.9984
XX دا يلبس اي حد عادي!,positive,0.9638,0.0061,0.9578
جزاكم الله خير [POS_EMOJI] تم التعامل مع مشكلتي بكل رقي و صداره رحب.. ,positive,0.9985,0.267,0.7315
،In-Vitro Meat ما تيجي نعمل,positive,0.9985,0.0056,0.9929
لما كانوا عاملين في 2007 الBattle of Billionaires، صراع الاثرياء.,neutral,0.9987,0.0005,0.9983
النوع التاني من اللقاحات اسمه الSubunit Vaccines،,neutral,0.9646,0.0002,0.9644
الديلفري سرق العرض [NEG_EMOJI] ومشكور خدمه العملاء انها رجعتلي العرض م,negative,0.995,0.8637,0.1313
انا ممكن اقنعك دلوقت ان انت ال project بتاعك ده مالوش لزمه,positive,0.9983,0.0432,0.9551
تطبيق فوق الممتاز [POS_EMOJI] [POS_EMOJI] [POS_EMOJI] [POS_EMOJI] [POS,positive,0.9967,0.986,0.0106
التطبيق مس عاوز يشتغل اصلا . البيانات بيقول غير صحيحه او ح دث internal,negative,0.993,0.9443,0.0486
و كنت يعني مثلا وانت في ثانوي او كده كنت حاسه انه انا او انت في ال IG ,neutral,0.9989,0.0002,0.9987
والمعروفه اختصارا ب EUV,positive,0.9968,0.0074,0.9894
للاسف، يا عزيزي، ما كانش Ciao اوي!,neutral,0.9975,0.0002,0.9973
شوف صورها، هتطلع في الGraphics.,positive,0.9986,0.0114,0.9872
طيب بيبقي عندك plans او حاجه معينه في ال weekends بتعملها؟,neutral,0.999,0.0002,0.9987
FTX المعروفه باسم FTT,positive,0.9993,0.0048,0.9945
عند استخدام الترجمه الفوريه يقوم جوجل بالترجمه المباشره من صور لكتابه ,neutral,0.9845,0.0003,0.9842
انه الاجمل علي الاطلاق اجمل تطبيق في الامارات انا احب هذا التطبيق جداا,positive,0.9966,0.8897,0.1069
برنامج جميل جدا [POS_EMOJI] ،لكن ليه ماتحطون مدينه الملك خالد العسكريه,positive,0.9868,0.5043,0.4825
رائع روووعه [POS_EMOJI] [POS_EMOJI],positive,0.9917,0.9823,0.0094
تطبيق رائع انه جميل فعلا [POS_EMOJI] [POS_EMOJI] [POS_EMOJI],positive,0.9908,0.9712,0.0196
كمان، اضطرت ترخص سعر الQuest Pro بعد 4 شهور بس من نزولها،,neutral,0.9984,0.0002,0.9982
انصح فيه وبقوه [POS_EMOJI],positive,0.9959,0.9919,0.004
في semester 3 لما كان لازم نختار major فكان لازم اختار ال major بتاعي ,neutral,0.9986,0.0002,0.9984
سويفل ممتاز جدا سيارات ممتازه مواعيد جيده وكباتن قمه في الاحترىم والاس,positive,0.9927,0.0591,0.9336
دائما اطلب يجي قبل الوقت [POS_EMOJI],positive,0.9938,0.9707,0.0232
تطيبق بعلق كثير و بطيء و ماني شايف في منو فايده نجمه وحدا افضل شي الكم,negative,0.9938,0.3286,0.6652
جيت من طرف احمد شريف [POS_EMOJI] ، لكن لاحظت انو كثير ناس عجبهم هالمطع,positive,0.982,0.6573,0.3247
Winter Evening (رسمه مستلهمه من الرياض),neutral,0.9979,0.0002,0.9976
عشان كدا، يا عزيزي، هيعمل تغيير صغير في الJob Title بتاعه،,positive,0.9933,0.0427,0.9506
دخلوا اشتروا Sodic، عملوا شويه تغييرات، وباعوها بعد كدا.,positive,0.9985,0.0308,0.9677
